Building Address,"Building Type
(Commercial Buildings1, 
Healthcare Facilities2, 
Educational Institutions3)","Building Size
(Large Size Commercial Buildings: 
i) Office Building, Retail Building, and Mixed Development - GFA ≥ 15,000 m2
ii) Hotel - GFA ≥ 7,000 m2

Small Size Commercial Buildings:: 
i) Office Building, Retail Building, and Mixed Development - GFA < 15,000 m2
ii) Hotel - GFA < 7,000 m2)",Public Sector,Year Obtained TOP/CSC,Green Mark Year of Award,Green Mark Rating,"Green Mark Status 
(Yes – Green Mark building;
No – non-Green Mark building)",Gross Floor Area (m2),Percentage of Air-conditioned Floor Area (%),Average Monthly Building Occupancy Rate (%) ,Number of Hotel Rooms,Type of Air-conditioning System,"Age of Newest Chiller/Air-conditioner
",Centralised Air-conditioning Plant Efficiency (kW/RT),Year of Last Chiller Plant Audit/ Health Check,Percentage Usage of LED (%),Installation of Solar PV (Y/N),"2016
Energy Use Intensity (EUI)
(kWh/m2.yr) ","2017
Energy Use Intensity
(EUI) 
(kWh/m2.yr) ","2018
Energy Use Intensity (EUI)
(kWh/m2.yr) ",EUI Performance Compared to the Previous Year (Improve/ Worsen),"Benchmarking - 
EUI Quartile",Voluntary Disclosure,postal_code,lat,lon,plan_area
"79 ANSON ROAD, SINGAPORE 079906",Office,Large,No,1992.0,,,No,26866.0,0.8171666790739224,60.0,,Water Cooled Chilled Water Plant,1.0,0.64,2018.0,70.0,N,180.44771421127075,180.00384314747265,134.85398719571205,Improved,Top Quartile,Y,079906,1.27409847579456,103.845671181577,DOWNTOWN CORE
"31 NORTH BUONA VISTA ROAD, SINGAPORE 275983",Office,Small,Yes,1999.0,,,No,12709.0,0.7536391533558895,100.0,,Water Cooled Chilled Water Plant,18.0,1.55,2012.0,4.0,N,195.34660476827446,183.0010228971595,179.56803997167364,Improved,2nd Quartile,Y,275983,1.30962960441142,103.791802735511,QUEENSTOWN
"11 JALAN TAN TOCK SENG, SINGAPORE 308433",General Hospital/ Specialist Centre (Public),Large,No,1999.0,2006.0,Platinum,Yes,191832.0,0.8264504701216523,100.0,,Water Cooled Chilled Water Plant,16.0,,,20.0,N,407.9649017890655,376.79950654739565,358.4687996788857,Improved,Not benchmarked,Y,308433,1.32100978515427,103.845757369413,NOVENA
"268 ORCHARD ROAD, SINGAPORE 238856",Retail,Large,No,2014.0,,,No,16971.0,0.9526250662895528,30.0,,Water Cooled Chilled Water Plant,4.0,0.79,2017.0,90.0,N,127.30217370809027,117.24797006658417,108.777012550822,Improved,Top Quartile,Y,238856,1.30289565860158,103.83692040228,ORCHARD
"9 NORTH BUONA VISTA DRIVE, SINGAPORE 138588",Office,Large,No,2013.0,2013.0,Platinum,Yes,100096.0,1.0,100.0,,Water Cooled Chilled Water Plant,4.0,0.57,2017.0,20.0,N,213.6428035086317,211.09086277173913,207.16431725543478,Improved,3rd Quartile,Y,138588,1.30624556811811,103.791237458059,QUEENSTOWN
"9 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486005",Office,Large,No,2014.0,2017.0,Gold,Yes,18365.0,0.8207459842090934,95.0,,District Cooling Plant,4.0,,,90.0,N,104.22129049823033,120.19863871494691,124.94848897359107,Worsened,Not benchmarked,Y,486005,1.33518861226839,103.967263733976,TAMPINES
"7 CHANGI BUSINESS PARK CRESCENT, SINGAPORE 486028",Office,Large,No,2009.0,2016.0,Platinum,Yes,27076.0,0.812675432117004,85.0,,District Cooling Plant,8.0,,,0.0,Y,201.8864769537598,195.37333801152312,191.06546387945045,Improved,Not benchmarked,Y,486028,1.33483540478273,103.966571364902,TAMPINES
"31 EXETER ROAD, SINGAPORE 239732",Office,Large,No,1981.0,,,No,119552.0,0.6948942719486081,100.0,,Water Cooled Chilled Water Plant,7.0,0.72,2014.0,20.0,N,375.8390123126338,346.4575615631692,320.2475282722163,Improved,Bottom Quartile,Y,239732,1.29897550209371,103.83840639869,ORCHARD
"20 PICKERING STREET, SINGAPORE 048658",Office,Large,No,1989.0,,,No,34560.0,0.5208333333333334,90.0,,Water Cooled Chilled Water Plant,3.0,0.9,2015.0,17.0,N,358.94482060185186,351.1162615740741,333.1125289351852,Improved,Bottom Quartile,Y,048658,1.28518223321565,103.848183725141,DOWNTOWN CORE
"36 NEWTON ROAD, SINGAPORE 307964",Hotel,Large,No,1970.0,,,No,23500.0,0.3052340425531915,87.0,359.0,Water Cooled Chilled Water Plant,21.0,,,72.0,N,218.65714893617022,220.72687914893618,225.54518382978725,Worsened,2nd Quartile,Y,307964,1.3168306104774,103.84185948495,NOVENA
"103 BEACH ROAD, SINGAPORE 189704",Hotel,Small,No,1999.0,,,No,1998.0,0.9719719719719719,86.0,96.0,"Others (Split Units, Unitary Systems)",5.0,,,0.0,N,416.85985985985985,391.1376676676677,409.64633633633633,Worsened,Bottom Quartile,Y,189704,1.29789135120372,103.857093524581,DOWNTOWN CORE
"291 SERANGOON ROAD, SINGAPORE 218107",Mixed Development,Small,No,1976.0,,,No,1502.0,0.6551264980026631,100.0,,"Others (Split Units, Unitary Systems)",10.0,,,0.0,N,314.71571238348866,294.56458055925435,289.8555259653795,Improved,3rd Quartile,Y,218107,1.31120553385429,103.854623458775,ROCHOR
"110 ROBINSON ROAD, SINGAPORE 068901",Office,Small,No,1990.0,,,No,2066.0,0.648596321393998,92.0,,Water Cooled Chilled Water Plant,2.0,,,0.0,N,100.87577928363987,107.08739109390125,116.62663601161665,Worsened,Top Quartile,Y,068901,1.27943057809586,103.848899829225,DOWNTOWN CORE
"9 BATTERY ROAD, SINGAPORE 049910",Office,Large,No,2009.0,2016.0,Gold,Yes,18565.0,0.795152168058174,100.0,,"Others (Split Units, Unitary Systems)",9.0,,,0.0,N,217.84031457042823,200.79718987341772,193.82599838405602,Improved,3rd Quartile,Y,049910,1.28513099274851,103.852344992142,DOWNTOWN CORE
"75 JELLICOE ROAD, SINGAPORE 208738",Office,Small,No,1996.0,,,No,1331.0,0.8519909842223892,80.0,,"Others (Split Units, Unitary Systems)",16.0,,,40.0,N,259.2712246431255,246.0480841472577,244.1435011269722,Improved,3rd Quartile,Y,208738,1.30857544338035,103.862677869771,KALLANG
"165 TANJONG PAGAR ROAD, SINGAPORE 088539",Mixed Development,Large,No,1998.0,,,No,49949.0,0.8588760535746461,90.0,384.0,Water Cooled Chilled Water Plant,0.0,0.65,2016.0,60.0,N,416.22147032914233,361.74778273839314,335.4712056297423,Improved,Bottom Quartile,Y,088539,1.27497303218867,103.843595205997,DOWNTOWN CORE
"17 ANG MO KIO AVENUE 9, SINGAPORE 569766",Community Hospital,Large,No,1993.0,2017.0,Gold,Yes,28151.0,0.2841817342190331,90.0,,Water Cooled Chilled Water Plant,1.0,0.64,2018.0,5.0,N,231.69159314557177,196.0175837448048,195.19510852189975,Improved,Not benchmarked,Y,569766,1.38401946175952,103.840355932142,ANG MO KIO
"7500A BEACH ROAD, SINGAPORE 199591",Mixed Development,Large,No,1983.0,2017.0,Gold,Yes,72925.0,0.9270943318482655,80.0,346.0,Water Cooled Chilled Water Plant,0.0,0.57,2017.0,100.0,N,229.79903627335278,243.72748645869044,246.7234527254028,Worsened,2nd Quartile,Y,199591,1.29971949507987,103.860829893192,DOWNTOWN CORE
"26A AYER RAJAH CRESCENT, SINGAPORE 139963",Office,Large,No,2015.0,2015.0,Platinum,Yes,35000.0,1.0,50.0,,Water Cooled Chilled Water Plant,3.0,,,20.0,Y,550.7730857142857,958.014,1744.7429142857143,Worsened,Bottom Quartile,Y,139963,1.29593894662169,103.790686930421,QUEENSTOWN
"451 JOO CHIAT ROAD, SINGAPORE 427664",Retail,Small,No,2016.0,2013.0,Certified,Yes,4247.0,1.0,83.0,,"Others (Split Units, Unitary Systems)",1.0,,,43.0,N,78.7367553567224,143.72404049917589,131.4899764539675,Improved,Top Quartile,Y,427664,1.3068658993424,103.904564981167,MARINE PARADE
"26 AYER RAJAH CRESCENT, SINGAPORE 139944",Office,Large,No,2014.0,2015.0,Platinum,Yes,40880.0,0.8643101761252446,99.0,,District Cooling Plant,2.0,,,10.0,Y,478.02854182974556,472.5834390900195,526.9629892367906,Worsened,Not benchmarked,Y,139944,1.2956063657836,103.791257019111,QUEENSTOWN
"10 INTERNATIONAL BUSINESS PARK, SINGAPORE 609928",Office,Small,No,1997.0,,,No,11816.0,0.8056872037914692,100.0,,Water Cooled Chilled Water Plant,21.0,,,90.0,N,1304.030267172044,1194.5154874746106,1181.1778097494923,Improved,Bottom Quartile,Y,609928,1.32523049308303,103.748956924072,JURONG EAST
"9 INTERNATIONAL BUSINESS PARK, SINGAPORE 609915",Office,Small,No,2003.0,2017.0,Certified,Yes,10960.0,1.0,100.0,,Water Cooled Chilled Water Plant,4.0,0.7,2016.0,90.0,N,625.0171726408192,703.430246350365,743.5328239051095,Worsened,Bottom Quartile,Y,609915,1.32480020432379,103.750270949804,JURONG EAST
"51 MIDDLE ROAD, SINGAPORE 188959",Private School,Small,No,2009.0,,,No,1350.0,1.0,1.0,,"Others (Split Units, Unitary Systems)",8.0,,,0.0,N,51.94074074074074,24.925925925925927,46.53333333333333,Worsened,Not benchmarked,Y,188959,1.29719002661978,103.855212728025,DOWNTOWN CORE
"51 CLUB STREET, SINGAPORE 069428",Office,Small,No,2011.0,,,No,2093.0,1.0,100.0,,"Others (Split Units, Unitary Systems)",5.0,,,3.0,N,319.61474438604876,302.60394648829435,323.22825609173435,Worsened,Bottom Quartile,Y,069428,1.28195427575105,103.846007309767,OUTRAM
"76 BRAS BASAH ROAD, SINGAPORE 189558",Hotel,Large,No,1987.0,,,No,59329.0,0.9731328692544962,90.0,940.0,Water Cooled Chilled Water Plant,15.0,,,80.0,N,312.2961848337238,295.0820880176642,276.56327259856056,Improved,3rd Quartile,Y,189558,1.29566785883191,103.853025511846,DOWNTOWN CORE
"1 TRAS LINK, SINGAPORE 078867",Hotel,Large,No,2012.0,,,No,16026.0,0.7579558217895919,85.0,272.0,"Others (Split Units, Unitary Systems)",6.0,,,72.0,N,335.73281168101835,343.8244852115313,323.4058898040684,Improved,3rd Quartile,Y,078867,1.27693674900724,103.843847224885,OUTRAM
"22 CAVENAGH ROAD, SINGAPORE 229617",Hotel,Large,No,2015.0,2015.0,Certified,Yes,8140.0,0.9600737100737101,75.0,263.0,"Others (Split Units, Unitary Systems)",2.0,,,21.0,N,355.74692874692875,308.43327027027027,282.92512407862404,Improved,3rd Quartile,Y,229617,1.30129467252748,103.841767533544,ORCHARD
"28 CAVENAGH ROAD, SINGAPORE 229635",Hotel,Large,No,2015.0,2015.0,Certified,Yes,13742.0,0.9234463687963906,75.0,488.0,"Others (Split Units, Unitary Systems)",2.0,,,21.0,N,321.4347984281764,279.0185504293407,275.464942512007,Improved,3rd Quartile,Y,229635,1.30145985805495,103.841931934133,ORCHARD
"3 UPPER PICKERING STREET, SINGAPORE 058289",Hotel,Large,No,2012.0,2013.0,Platinum,Yes,29227.0,0.7677147842748144,80.0,367.0,Water Cooled Chilled Water Plant,5.0,0.65,2017.0,60.0,N,307.6157686385876,302.34810278167447,309.32818113388305,Worsened,3rd Quartile,Y,058289,1.28563914231387,103.846290272366,OUTRAM
"399 YUNG SHENG ROAD, SINGAPORE 610399",Retail,Small,Yes,1996.0,2013.0,Gold,Yes,11820.0,0.6571065989847715,100.0,,"Others (Split Units, Unitary Systems)",7.0,,,3.0,N,412.2924847715736,402.4322140439932,403.5356489001691,Worsened,3rd Quartile,Y,610399,1.33476422515942,103.720460818484,JURONG WEST
"100 BEACH ROAD, SINGAPORE 189702",Office,Large,No,1975.0,,,No,43367.0,0.69781170014066,96.0,,Water Cooled Chilled Water Plant,18.0,,,20.0,N,234.18091679017573,248.59250743653007,232.13537274886437,Improved,3rd Quartile,Y,189702,1.29615719409665,103.856933604404,DOWNTOWN CORE
"3 SECOND HOSPITAL AVENUE, SINGAPORE 168937",Office,Large,Yes,1996.0,2016.0,Platinum,Yes,32148.0,0.7339492347891005,100.0,,Water Cooled Chilled Water Plant,5.0,0.63,2016.0,9.0,N,162.08399987557547,169.18257950727883,164.4019223590892,Improved,2nd Quartile,Y,168937,1.27937281065482,103.838387502631,BUKIT MERAH
"1 GATEWAY DRIVE, SINGAPORE 608531",Retail,Large,No,2014.0,2018.0,Platinum,Yes,87780.0,1.0,95.0,,Water Cooled Chilled Water Plant,4.0,,,80.0,N,347.58359788476366,351.9760066074277,352.75506949191157,Worsened,2nd Quartile,Y,608531,1.33459925741287,103.74294445162,JURONG EAST
"11 SCIENCE PARK ROAD, SINGAPORE 117685",Private School,Small,No,1994.0,,,No,11178.0,1.0,100.0,,Water Cooled Chilled Water Plant,2.0,,,3.0,N,2676.5542583646447,2602.430958132045,2515.58615136876,Improved,Not benchmarked,Y,117685,1.28985887035892,103.779452691331,QUEENSTOWN
"27 BENDEMEER ROAD, SINGAPORE 330027",Retail,Small,No,1971.0,,,No,2070.0,0.4830917874396135,100.0,,"Others (Split Units, Unitary Systems)",10.0,,,50.0,N,727.5120193236714,719.7811690821256,744.8508599033817,Worsened,Bottom Quartile,Y,330027,1.31883815362848,103.862815823199,KALLANG
"217 UPPER BUKIT TIMAH ROAD, SINGAPORE 588185",Office,Small,No,2011.0,2017.0,Platinum,Yes,1980.0,0.8010101010101011,95.0,,"Others (Split Units, Unitary Systems)",6.0,,,0.0,Y,162.33939393939394,158.68939393939394,147.31666666666666,Improved,2nd Quartile,Y,588185,1.345640532038,103.77252470237,BUKIT TIMAH
"8 BIOMEDICAL GROVE, SINGAPORE 138665",Office,Large,No,2006.0,,,No,48424.0,0.33240740740740743,100.0,,District Cooling Plant,7.0,,,0.0,N,343.86931273748553,327.6829671237403,321.99483727077484,Improved,Not benchmarked,Y,138665,1.3021738521009,103.793545248978,QUEENSTOWN
"75 SCIENCE PARK DRIVE, SINGAPORE 118255",Office,Large,No,1990.0,,,No,54211.0,0.8000302869690316,70.0,,District Cooling Plant,2.0,,,100.0,N,851.6461965283798,828.9631547102986,754.5639482761802,Improved,Not benchmarked,Y,118255,1.29005640233779,103.789990399181,QUEENSTOWN
"87 SCIENCE PARK DRIVE, SINGAPORE 118260",Retail,Small,No,1996.0,,,No,6100.0,1.0,90.0,,Water Cooled Chilled Water Plant,2.0,0.65,2017.0,100.0,N,66.03810983606557,62.32551967213116,55.39697540983607,Improved,Top Quartile,Y,118260,1.28774358639098,103.790369856119,QUEENSTOWN
"89 SCIENCE PARK DRIVE, SINGAPORE 118261",Office,Large,No,1995.0,,,No,20143.0,0.800029787022787,70.0,,Water Cooled Packaged Unit,2.0,0.65,2017.0,50.0,N,276.77697065978253,242.78236508960927,211.59956659881846,Improved,3rd Quartile,Y,118261,1.28797949416507,103.791337056727,QUEENSTOWN
"3 FUSIONOPOLIS LINK, SINGAPORE 138543",Office,Large,No,2013.0,2015.0,Platinum,Yes,25510.0,0.08420227361818894,100.0,,Water Cooled Chilled Water Plant,4.0,0.57,2017.0,0.0,N,25.567767934143472,25.060341826734618,24.75301685613485,Improved,Top Quartile,Y,138543,1.29864048874909,103.789837332175,QUEENSTOWN
"12 SCIENCE PARK DRIVE, SINGAPORE 118225",Office,Large,No,2013.0,2013.0,GoldPlus,Yes,75269.0,0.6773451366216009,100.0,,Water Cooled Chilled Water Plant,4.0,,,100.0,N,156.3036974053063,246.25134517530458,255.93779643678008,Worsened,Bottom Quartile,Y,118225,1.28959031017024,103.786921106765,QUEENSTOWN
"19 CECIL STREET, SINGAPORE 049704",Office,Small,No,1930.0,,,No,1944.0,0.9542181069958847,100.0,,"Others (Split Units, Unitary Systems)",1.0,,,50.0,N,257.0179732510288,255.33012860082306,249.60237654320989,Improved,3rd Quartile,Y,049704,1.28244263146954,103.850510230422,DOWNTOWN CORE
"301 UPPER THOMSON ROAD, SINGAPORE 574408",Retail,Large,No,1981.0,,,No,29413.0,1.0,98.0,,Water Cooled Chilled Water Plant,3.0,,,70.0,N,464.21624281780163,459.9169231292286,468.53855812055883,Worsened,3rd Quartile,Y,574408,1.35479914752227,103.831000988686,BISHAN
"11 RIVERVALE CRESCENT, SINGAPORE 545082",Retail,Small,No,2000.0,,,No,10149.0,0.7432259335895162,96.0,,Water Cooled Chilled Water Plant,7.0,,,100.0,N,738.0255660656223,764.2593349098433,774.9812671199132,Worsened,Bottom Quartile,Y,545082,1.39221732695142,103.904473070943,SENGKANG
"8 SOMAPAH ROAD, SINGAPORE 487372",Univerisity,Large,No,2014.0,2012.0,Platinum,Yes,109703.0,0.5372477319474944,30.0,1.0,Water Cooled Chilled Water Plant,2.0,0.65,2016.0,18.0,N,154.888627749469,164.45553421510806,177.18713690600987,Worsened,Not benchmarked,Y,487372,1.3401716369901,103.962860116421,TAMPINES
"10 SHENTON WAY, SINGAPORE 079117",Office,Large,Yes,1985.0,2015.0,Platinum,Yes,55206.0,0.7386697098141506,100.0,,Water Cooled Chilled Water Plant,0.0,1.13,2014.0,37.0,N,162.88369017860379,139.28126254392637,129.83310364815418,Improved,Top Quartile,Y,079117,1.27476842632545,103.846679853865,DOWNTOWN CORE
"109 PASIR PANJANG ROAD, SINGAPORE 118536",Office,Large,Yes,2001.0,,,No,15423.0,0.5746612202554626,100.0,,Water Cooled Chilled Water Plant,14.0,,,4.0,N,199.80820203592037,188.63619269921546,184.7359463139467,Improved,2nd Quartile,Y,118536,1.27493139629834,103.793387821275,QUEENSTOWN
"16 AYER RAJAH CRESCENT, SINGAPORE 139965",Office,Small,No,1999.0,,,No,11470.0,0.26155187445510025,90.0,,"Others (Split Units, Unitary Systems)",1.0,,,70.0,N,208.0607175239756,186.8621142109852,179.4665858761988,Improved,2nd Quartile,Y,139965,1.29566015399737,103.788850715014,QUEENSTOWN
"1 MARINA BOULEVARD, SINGAPORE 018989",Office,Large,No,2004.0,,,No,48258.0,0.84684404658295,100.0,,"Others (Split Units, Unitary Systems)",0.0,,,50.0,N,179.05382799884063,174.46667909983836,167.1793236354594,Improved,2nd Quartile,Y,018989,1.28225513828498,103.852615142196,DOWNTOWN CORE
"11 MACKENZIE ROAD, SINGAPORE 228675",Hotel,Small,No,1958.0,,,No,518.0,0.694980694980695,47.0,25.0,"Others (Split Units, Unitary Systems)",7.0,,,0.0,N,255.2573359073359,244.27299227799227,274.1814092664093,Worsened,3rd Quartile,Y,228675,1.30434908677393,103.849908918079,ROCHOR
"1 FIFTH AVENUE, SINGAPORE 268802",Office,Small,No,1998.0,,,No,8908.0,0.9998877413560844,100.0,,Water Cooled Chilled Water Plant,1.0,,,30.0,N,325.5157162101482,305.36573866187695,302.4291086663673,Improved,Bottom Quartile,Y,268802,1.33077492770988,103.795713392342,BUKIT TIMAH
"5 TAMPINES CENTRAL 1, SINGAPORE 529541",Office,Small,No,1999.0,,,No,10417.0,0.8124220024959201,100.0,,Water Cooled Chilled Water Plant,1.0,,,20.0,N,283.6100604780647,258.6480272631276,193.09858884515697,Improved,3rd Quartile,Y,529541,1.35316637447594,103.942688326666,TAMPINES
"3 TAMPINES CENTRAL 1, SINGAPORE 529540",Office,Small,No,1999.0,,,No,10416.0,0.8099078341013825,100.0,,Water Cooled Chilled Water Plant,1.0,,,20.0,N,277.2833621351767,251.44398041474653,187.65937019969277,Improved,3rd Quartile,Y,529540,1.35266740578685,103.942959938343,TAMPINES
"11 OUTRAM ROAD, SINGAPORE 169078",Office,Large,Yes,2001.0,2016.0,GoldPlus,Yes,17284.0,0.9125781069196945,95.0,,Water Cooled Chilled Water Plant,5.0,0.62,2016.0,76.0,N,475.50998728665974,447.5456491552881,448.29825271927797,Worsened,Bottom Quartile,Y,169078,1.28044812109897,103.83850336886,BUKIT MERAH
"211 NEW BRIDGE ROAD, SINGAPORE 059432",Retail,Small,No,1992.0,,,No,5907.0,0.7998984255967496,80.0,,Water Cooled Chilled Water Plant,22.0,,,5.0,N,409.70073641442355,369.8573302861012,294.4441340782123,Improved,2nd Quartile,Y,059432,1.28364109688899,103.843311644287,OUTRAM
"92 TELOK AYER STREET, SINGAPORE 048472",Retail,Large,No,1998.0,,,No,18396.0,0.9284083496412263,85.0,97.0,Air Cooled Chilled Water Plant,17.0,1.65,2013.0,2.0,N,493.25286638399655,450.9697363557295,449.4414546640574,Improved,3rd Quartile,Y,048472,1.2827145607859,103.848590125427,OUTRAM
"192 WATERLOO STREET, SINGAPORE 187966",Office,Small,No,1991.0,,,No,3000.0,0.8333333333333334,85.0,,"Others (Split Units, Unitary Systems)",5.0,,,0.0,N,197.17308,171.98348333333334,152.14392333333333,Improved,2nd Quartile,Y,187966,1.30121194443487,103.853203872907,ROCHOR
"37 CARPENTER STREET, SINGAPORE 059916",Office,Small,No,1990.0,,,No,1405.0,0.7708185053380783,100.0,,"Others (Split Units, Unitary Systems)",50.0,,,70.0,N,20.95373665480427,83.97153024911032,206.8749181494662,Worsened,3rd Quartile,Y,059916,1.28790279791051,103.847773371078,SINGAPORE RIVER
"1 MAJU AVENUE, SINGAPORE 556679",Retail,Small,No,2010.0,,,No,5312.0,0.458019578313253,90.0,,"Others (Split Units, Unitary Systems)",8.0,,,0.0,N,717.3221291415663,706.6420613704819,755.7320199548192,Worsened,Bottom Quartile,Y,556679,1.3652806057289,103.865101220515,SERANGOON
"257 JALAN BESAR, SINGAPORE 208930",Hotel,Small,No,1986.0,,,No,493.0,0.7586206896551724,65.0,6.0,"Others (Split Units, Unitary Systems)",1.0,,,100.0,N,153.101784989858,192.69937119675456,178.35379310344828,Improved,Top Quartile,Y,208930,1.31019232900635,103.858155061402,KALLANG
"470 NORTH BRIDGE ROAD, SINGAPORE 188735",Retail,Small,No,1984.0,,,No,6188.0,0.7756948933419522,90.0,,"Others (Split Units, Unitary Systems)",3.0,,,100.0,N,268.27577731092435,291.7018552036199,336.25407563025215,Worsened,2nd Quartile,Y,188735,1.2981408343975,103.855635339249,DOWNTOWN CORE
"86 EAST COAST ROAD, SINGAPORE 428788",Hotel,Large,No,2016.0,2015.0,Platinum,Yes,25200.0,0.9367063492063492,100.0,582.0,Water Cooled Chilled Water Plant,2.0,,,95.0,N,162.47707142857143,258.18329365079364,260.6966190476191,Worsened,2nd Quartile,Y,428788,1.30513510179213,103.904307160288,MARINE PARADE
"53 ANG MO KIO AVENUE 3, SINGAPORE 569933",Retail,Large,No,2006.0,,,No,48245.0,1.0,99.0,,Water Cooled Chilled Water Plant,9.0,0.82,2016.0,6.0,N,539.0720074619131,521.9164265727019,474.11487200746194,Improved,3rd Quartile,Y,569933,1.36922522142582,103.848493192474,ANG MO KIO
"71 ROBINSON ROAD, SINGAPORE 068895",Office,Large,No,2009.0,2015.0,Gold,Yes,24089.0,0.9767943874797625,100.0,,Water Cooled Chilled Water Plant,7.0,0.65,2015.0,0.0,N,248.99362987255594,228.54715845406616,221.13531902528126,Improved,3rd Quartile,Y,068895,1.27838397079891,103.848812961411,DOWNTOWN CORE
"59 NEW BRIDGE ROAD, SINGAPORE 059405",Office,Small,No,1951.0,,,No,1171.0,1.0,100.0,,Water Cooled Packaged Unit,4.0,,,0.0,N,136.68327924850556,155.34078565328778,164.58994022203245,Worsened,2nd Quartile,Y,059405,1.28793062954853,103.846912565537,SINGAPORE RIVER
"101 CLUNY PARK ROAD, SINGAPORE 259594",Office,Small,No,1999.0,,,No,2852.0,0.8643057503506312,100.0,,"Others (Split Units, Unitary Systems)",19.0,,,25.0,N,187.43934081346424,209.35904628330997,188.42356241234222,Improved,3rd Quartile,Y,259594,1.32224878035865,103.814156483906,TANGLIN
"144 ROBINSON ROAD, SINGAPORE 068908",Office,Small,No,2014.0,2014.0,Certified,Yes,4164.0,0.9606147934678194,60.0,,"Others (Split Units, Unitary Systems)",2.0,,,0.0,N,93.56158021133525,127.54116474543706,147.74567243035543,Worsened,2nd Quartile,Y,068908,1.27826614361665,103.848149742737,DOWNTOWN CORE
"77 GEYLANG ROAD, SINGAPORE 389197",Hotel,Small,No,1995.0,,,No,115.0,0.5217391304347826,80.0,5.0,"Others (Split Units, Unitary Systems)",2.0,,,30.0,N,401.2533913043478,360.32947826086956,455.6931304347826,Worsened,Bottom Quartile,Y,389197,1.31073851240701,103.872836832475,KALLANG
"12 PERAK ROAD, SINGAPORE 208133",Hotel,Small,No,1996.0,,,No,1394.0,0.7517934002869441,50.0,34.0,"Others (Split Units, Unitary Systems)",20.0,,,0.0,N,134.41629842180774,117.65728837876615,111.44133428981348,Improved,Top Quartile,Y,208133,1.30477736226195,103.853212734493,ROCHOR
"80 ANSON ROAD, SINGAPORE 079907",Office,Large,No,1989.0,2017.0,Platinum,Yes,48688.0,0.6921623397962537,96.0,,Water Cooled Chilled Water Plant,1.0,0.59,2013.0,50.0,N,181.2841767992113,169.28443148209004,161.66361321064738,Improved,2nd Quartile,Y,079907,1.27311737895546,103.843586446705,DOWNTOWN CORE
"41 SCIENCE PARK ROAD, SINGAPORE 117610",Office,Large,No,1998.0,,,No,32629.0,0.8214165313065065,80.0,,"Others (Split Units, Unitary Systems)",1.0,,,100.0,N,466.0510867633087,408.2113417512029,356.39598394066627,Improved,Bottom Quartile,Y,117610,1.28874338578167,103.782835762303,QUEENSTOWN
"51 SCIENCE PARK ROAD, SINGAPORE 117586",Office,Small,No,1999.0,,,No,14695.0,0.9503912895542702,80.0,,"Others (Split Units, Unitary Systems)",1.0,,,100.0,N,946.2009567880232,820.5679476012249,723.8807505954405,Improved,Bottom Quartile,Y,117586,1.2874103128712,103.783100732754,QUEENSTOWN
"50 SCIENCE PARK ROAD, SINGAPORE 117406",Office,Large,No,2009.0,,,No,20190.0,0.8454680534918276,95.0,,Water Cooled Chilled Water Plant,3.0,,,100.0,N,649.0277117384844,688.620375433383,667.0517652303121,Improved,Bottom Quartile,Y,117406,1.28588931446437,103.783512088621,QUEENSTOWN
