Building Address,"Building Type
(Office Building, Hotel, Retail Building, Mixed Development)","Green Mark Status 
(Yes – Green Mark building;
No – non-Green Mark building)",Green Mark Rating,Green Mark Year of Award,"Building Size
(Large Size Commercial Buildings: 
i) Office Building, Retail Building, and Mixed Development - GFA ≥ 15,000 m2
ii) Hotel - GFA ≥ 7,000 m2

Small Size Commercial Buildings:: 
i) Office Building, Retail Building, and Mixed Development - GFA < 15,000 m2
ii) Hotel - GFA < 7,000 m2)",Gross Floor Area (m2),"2015 Energy Use Intensity (EUI)
(kWh/m2.yr) ","2016 
Energy Use Intensity
(EUI) 
(kWh/m2.yr) ",Voluntary Disclosure,postal_code,lat,lon,plan_area
"985 UPPER SERANGOON ROAD, SINGAPORE 534731",Retail,No,,,Small,580.0,191.0,175,Y,534731,1.36220947602718,103.886929234016,HOUGANG
"230 VICTORIA STREET, SINGAPORE 188024",Mixed Development,Yes,Platinum,2014.0,Large,119035.0,401.0,393,Y,188024,1.29988818208147,103.85602341047,DOWNTOWN CORE
"252 NORTH BRIDGE ROAD, SINGAPORE 179103",Mixed Development,Yes,Gold,2010.0,Large,240130.0,513.0,500,Y,179103,1.29376028134073,103.852768324281,DOWNTOWN CORE
"6 RAFFLES BOULEVARD, SINGAPORE 039594",Mixed Development,No,,,Large,460500.0,209.0,211,Y,039594,1.29145526802576,103.857007335679,DOWNTOWN CORE
"9 RAFFLES BOULEVARD, SINGAPORE 039596",Mixed Development,Yes,Platinum,2011.0,Large,228435.0,292.0,306,Y,039596,1.29296504146626,103.859343968909,DOWNTOWN CORE
"333 ORCHARD ROAD, SINGAPORE 238867",Mixed Development,No,,,Large,127860.0,233.0,218,Y,238867,1.30206450556085,103.836340953476,ORCHARD
"70 COLLYER QUAY, SINGAPORE 049323",Mixed Development,No,,,Large,63748.0,520.0,525,Y,049323,1.28250872626601,103.853557170034,DOWNTOWN CORE
"3 COLEMAN STREET, SINGAPORE 179804",Mixed Development,No,,,Large,51487.0,397.0,368,Y,179804,1.29184722286359,103.85016512189,DOWNTOWN CORE
"1 KIM SENG PROMENADE, SINGAPORE 237994",Mixed Development,No,,,Large,135183.0,256.0,247,Y,237994,1.2934759620704,103.831975865363,SINGAPORE RIVER
"101 THOMSON ROAD, SINGAPORE 307591",Mixed Development,No,,,Large,65933.0,287.0,284,Y,307591,1.31699088160901,103.843866811519,NOVENA
"2 JURONG EAST STREET 21, SINGAPORE 609601",Mixed Development,No,,,Large,132527.0,228.0,241,Y,609601,1.33491758755437,103.746877132868,JURONG EAST
"101 UPPER CROSS STREET, SINGAPORE 058357",Mixed Development,No,,,Large,49701.0,238.0,237,Y,058357,1.28580583517057,103.844032214205,OUTRAM
"133 NEW BRIDGE ROAD, SINGAPORE 059413",Mixed Development,No,,,Large,51611.0,382.0,385,Y,059413,1.28518516098542,103.844942912274,OUTRAM
"260 ORCHARD ROAD, SINGAPORE 238855",Mixed Development,Yes,Platinum,2015.0,Large,36383.0,333.0,318,Y,238855,1.30265160142482,103.837367213158,ORCHARD
"1 SELEGIE ROAD, SINGAPORE 188306",Mixed Development,Yes,Platinum,2010.0,Large,21831.0,270.0,271,Y,188306,1.30010826723486,103.849264127911,ROCHOR
"501 ORCHARD ROAD, SINGAPORE 238880",Mixed Development,Yes,Gold,2014.0,Large,43280.0,284.0,284,Y,238880,1.30467628730252,103.830642027577,ORCHARD
"60 ALBERT STREET, SINGAPORE 189969",Mixed Development,Yes,Gold,2015.0,Large,25724.0,207.0,204,Y,189969,1.30237807553016,103.853794531128,ROCHOR
"400 ORCHARD ROAD, SINGAPORE 238875",Mixed Development,Yes,Certified,2016.0,Large,42809.0,189.0,182,Y,238875,1.30694456840806,103.829339596247,ORCHARD
"390 ORCHARD ROAD, SINGAPORE 238871",Mixed Development,Yes,Platinum,2014.0,Large,16490.89,220.0,220,Y,238871,1.30665484543191,103.829588045188,ORCHARD
"583 ORCHARD ROAD, SINGAPORE 238884",Mixed Development,No,,,Large,24639.0,396.0,409,Y,238884,1.30624873073847,103.829034914315,ORCHARD
"111 NORTH BRIDGE ROAD, SINGAPORE 179098",Mixed Development,No,,,Large,50051.0,251.0,267,Y,179098,1.29232248414936,103.85080450702,DOWNTOWN CORE
"100 ORCHARD ROAD, SINGAPORE 238840",Mixed Development,No,,,Large,62543.0,185.0,179,Y,238840,1.30061437384276,103.842228045431,ORCHARD
"10 JALAN BESAR, SINGAPORE 208787",Mixed Development,Yes,GoldPlus,2015.0,Large,22768.0,144.0,141,Y,208787,1.30377222122298,103.85466144692,ROCHOR
"581 ORCHARD ROAD, SINGAPORE 238883",Mixed Development,No,,,Large,38986.0,321.0,312,Y,238883,1.30587902361324,103.829314888722,ORCHARD
"165 TANJONG PAGAR ROAD, SINGAPORE 088539",Mixed Development,No,,,Large,49948.0,413.0,416,Y,088539,1.27497303218867,103.843595205997,DOWNTOWN CORE
"541 ORCHARD ROAD, SINGAPORE 238881",Mixed Development,No,,,Large,19570.0,291.0,308,Y,238881,1.30508722710852,103.830722581168,ORCHARD
"809 FRENCH ROAD, SINGAPORE 200809",Mixed Development,No,,,Large,26881.0,103.0,115,Y,200809,1.30832700516352,103.862005870884,KALLANG
"277 ORCHARD ROAD, SINGAPORE 238858",Mixed Development,Yes,Platinum,2012.0,Large,48324.0,397.0,400,Y,238858,1.30048912114759,103.839325098624,ORCHARD
"1 COLEMAN STREET, SINGAPORE 179803",Mixed Development,No,,,Large,41158.0,219.0,216,Y,179803,1.29124450197035,103.851236674943,DOWNTOWN CORE
"128 PRINSEP STREET, SINGAPORE 188655",Mixed Development,No,,,Small,1543.0,146.0,177,Y,188655,1.30185644908924,103.851832335297,ROCHOR
"23 KELANTAN LANE, SINGAPORE 208642",Mixed Development,No,,,Small,634.0,46.0,25,Y,208642,1.30651732542212,103.856560548671,ROCHOR
"432 BALESTIER ROAD, SINGAPORE 329813",Mixed Development,No,,,Small,11880.0,42.0,41,Y,329813,1.32640299982338,103.848659877472,NOVENA
"301 GEYLANG ROAD, SINGAPORE 389344",Mixed Development,No,,,Small,2785.0,353.0,367,Y,389344,1.31272117351252,103.878642017231,GEYLANG
"52 CHIN SWEE ROAD, SINGAPORE 169875",Mixed Development,No,,,Small,6508.0,219.0,222,Y,169875,1.28758307609324,103.840038444643,OUTRAM
"9 SCOTTS ROAD, SINGAPORE 228210",Mixed Development,No,,,Small,11000.0,309.0,347,Y,228210,1.30654704697701,103.832128174215,ORCHARD
"1001 UPPER SERANGOON ROAD, SINGAPORE 534739",Mixed Development,No,,,Small,976.0,98.0,106,Y,534739,1.36254276425588,103.887233439196,HOUGANG
"1 LIANG SEAH STREET, SINGAPORE 189022",Mixed Development,No,,,Small,2539.0,518.0,499,Y,189022,1.29791212335193,103.856336963143,DOWNTOWN CORE
"101 KITCHENER ROAD, SINGAPORE 208511",Mixed Development,No,,,Small,7845.0,214.0,206,Y,208511,1.30865766748104,103.858066663176,KALLANG
"6 YIO CHU KANG ROAD, SINGAPORE 545521",Mixed Development,No,,,Small,1945.0,16.0,18,Y,545521,1.35458411311499,103.877789977988,HOUGANG
"41 SUNSET WAY, SINGAPORE 597071",Mixed Development,No,,,Small,3608.0,329.0,360,Y,597071,1.32355286918436,103.767515486547,CLEMENTI
"291 SERANGOON ROAD, SINGAPORE 218107",Mixed Development,No,,,Small,1502.0,296.0,315,Y,218107,1.31120553385429,103.854623458775,ROCHOR
"69 AYER RAJAH CRESCENT, SINGAPORE 139961",Mixed Development,No,,,Small,2749.0,202.0,199,Y,139961,1.29620081110118,103.786975733387,QUEENSTOWN
"288 BALESTIER ROAD, SINGAPORE 329731",Mixed Development,No,,,Small,2002.0,44.0,55,Y,329731,1.32297698121569,103.852811354547,NOVENA
"10 NEO TIEW LANE 2, SINGAPORE 718813",Mixed Development,No,,,Small,3057.0,179.0,219,Y,718813,1.41927816224448,103.718425682733,LIM CHU KANG
